Date,Price,Open,High,Low,Vol.,Change %
"Apr 25, 2021",31.93,31.21,32.28,31.03,8.17M,2.36%
"Apr 24, 2021",31.2,35.13,35.25,31.03,10.45M,-11.19%
"Apr 23, 2021",35.13,35.2,35.91,30.09,24.81M,-0.29%
"Apr 22, 2021",35.23,36.27,40.69,33.9,21.44M,-2.88%
"Apr 21, 2021",36.27,39.02,39.44,35.96,11.65M,-6.97%
"Apr 20, 2021",38.99,35.77,39.33,33.3,19.20M,9.03%
"Apr 19, 2021",35.76,39.09,41.94,34.93,20.77M,-8.49%
"Apr 18, 2021",39.08,39.92,40.29,29.71,26.79M,-2.12%
"Apr 17, 2021",39.93,41.98,44.06,39.91,10.57M,-4.88%
"Apr 16, 2021",41.98,42.6,43.24,38.66,15.43M,-1.47%
"Apr 15, 2021",42.6,41.33,44.3,39.74,19.15M,3.02%
"Apr 14, 2021",41.35,35.5,41.97,35.05,21.75M,16.57%
"Apr 13, 2021",35.48,33.1,35.84,32.39,9.27M,7.17%
"Apr 12, 2021",33.1,33.9,34.11,31.89,6.05M,-2.36%
"Apr 11, 2021",33.9,31.92,34.37,31.75,7.32M,6.22%
"Apr 10, 2021",31.92,31.59,32.99,31.1,5.32M,1.04%
"Apr 09, 2021",31.59,32.78,33.26,31.26,4.67M,-3.64%
"Apr 08, 2021",32.78,31.12,32.88,31,5.54M,5.34%
"Apr 07, 2021",31.12,34.72,35.07,30.27,13.63M,-10.36%
"Apr 06, 2021",34.72,32.33,34.87,31.32,14.70M,7.40%
"Apr 05, 2021",32.33,30.76,32.59,29.63,7.78M,5.13%
"Apr 04, 2021",30.75,29.31,31.45,28.79,5.02M,4.91%
"Apr 03, 2021",29.31,32.46,33.16,29.24,8.61M,-9.71%
"Apr 02, 2021",32.46,30.07,32.54,29.56,7.18M,7.95%
"Apr 01, 2021",30.07,29.37,31.11,29.34,9.23M,2.40%
"Mar 31, 2021",29.37,27.84,29.37,26.33,7.55M,5.49%
"Mar 30, 2021",27.84,28.04,28.56,27.54,3.83M,-0.68%
"Mar 29, 2021",28.03,26.66,28.59,26.39,5.85M,5.15%
"Mar 28, 2021",26.66,26.85,27.65,26.12,3.72M,-0.72%
"Mar 27, 2021",26.85,27.4,27.47,26.01,3.37M,-1.95%
"Mar 26, 2021",27.39,25.53,27.4,25.37,6.61M,7.29%
"Mar 25, 2021",25.53,24.9,26.62,24.48,7.88M,2.50%
"Mar 24, 2021",24.9,26.8,27.87,23.83,8.69M,-7.10%
"Mar 23, 2021",26.8,27.28,27.91,26.65,5.89M,-1.73%
"Mar 22, 2021",27.28,29.21,29.42,27.27,5.77M,-6.63%
"Mar 21, 2021",29.22,29.64,30.06,28.62,4.73M,-1.39%
"Mar 20, 2021",29.63,29.78,31.39,29.6,5.66M,-0.56%
"Mar 19, 2021",29.79,29.43,30.54,28.7,5.44M,1.25%
"Mar 18, 2021",29.43,31.03,31.34,29.04,7.41M,-5.18%
"Mar 17, 2021",31.03,27.92,31.18,27.34,13.21M,11.17%
"Mar 16, 2021",27.92,27.45,28.17,26.46,5.94M,1.69%
"Mar 15, 2021",27.45,28.63,29.4,26.82,8.71M,-4.12%
"Mar 14, 2021",28.63,29.75,30.19,28.54,4.91M,-3.74%
"Mar 13, 2021",29.75,28.38,30.55,27.02,9.60M,4.83%
"Mar 12, 2021",28.38,30.08,30.38,27.72,7.54M,-5.67%
"Mar 11, 2021",30.08,29.92,30.43,28.62,7.54M,0.55%
"Mar 10, 2021",29.92,31.49,31.76,29.33,8.04M,-5.01%
"Mar 09, 2021",31.49,31.83,31.98,30.4,8.02M,-1.04%
"Mar 08, 2021",31.83,28.58,31.83,28.3,12.50M,11.34%
"Mar 07, 2021",28.58,28.16,29.11,27.42,7.57M,1.51%
"Mar 06, 2021",28.16,27.84,28.36,26.31,6.64M,1.08%
"Mar 05, 2021",27.86,27.68,28.22,25.68,10.70M,0.64%
"Mar 04, 2021",27.68,29.92,30.57,27.28,11.43M,-7.49%
"Mar 03, 2021",29.92,28.48,31.42,28.16,10.92M,5.04%
"Mar 02, 2021",28.48,27.71,30.51,27.2,16.65M,2.80%
"Mar 01, 2021",27.71,24.67,27.71,24.6,16.80M,12.37%
"Feb 28, 2021",24.66,26.17,26.74,22.91,14.02M,-5.76%
"Feb 27, 2021",26.17,25.17,27.4,24.87,11.80M,3.98%
"Feb 26, 2021",25.16,24.71,26.97,23.7,15.74M,1.84%
"Feb 25, 2021",24.71,28.1,28.61,24.42,12.85M,-12.08%
"Feb 24, 2021",28.1,25.95,29.23,24.53,19.47M,8.31%
"Feb 23, 2021",25.95,31.45,31.57,20.89,39.12M,-17.50%
"Feb 22, 2021",31.45,34.09,34.18,25.37,21.38M,-7.74%
